Bin,numerator_loth,numerator_markhvida,numerator_DuNing,numerator_vitor
76.0,0.06491629905710364,0.1093989156108911,0.12518591683542402,0.08291597723261038
77.0,0.06471077144614087,0.10874567841061766,0.12419479842573267,0.0825007067872014
78.0,0.06451387714368503,0.10810144006299838,0.12321888109862833,0.08209534010917943
79.0,0.06432525242610602,0.10746607038990925,0.12225792809414271,0.08169955373504752
80.0,0.06414454904329288,0.10683944121424199,0.12131170654830604,0.08131303758033312
81.0,0.06397143353960995,0.10622142632464276,0.12037998740902613,0.08093549430442154
82.0,0.06380558660750552,0.10561190144140747,0.11946254535593008,0.0805666387079739
83.0,0.0636467024718226,0.10501074418341191,0.11855915872379649,0.0802061971611813
84.0,0.06349448830302454,0.10441783403597558,0.117669609429248,0.0798539070612031
85.0,0.0633486636576929,0.10383305231957438,0.11679368290041305,0.07950951631722808
86.0,0.06320895994478291,0.10325628215933257,0.1159311680092982,0.07917278286168211
87.0,0.06307511991623835,0.10268740845523337,0.11508185700664203,0.07884347418618817
88.0,0.06294689718066923,0.10212631785299968,0.11424554545904693,0.07852136690095964
89.0,0.06282405573888913,0.10157289871560145,0.11342203218820857,0.07820624631638112
90.0,0.06270636954019218,0.10102704109535479,0.11261111921208139,0.07789790604559892
91.0,0.06259362205832458,0.10048863670658097,0.11181261168783772,0.07759614762700737
92.0,0.062485605886174495,0.09995757889879955,0.11102631785649236,0.07730078016557891
93.0,0.062382122348265144,0.09943376263043215,0.1102520489890782,0.07701161999204265
94.0,0.06228298113019298,0.09891708444299681,0.10948961933427155,0.07672849033897075
95.0,0.06218799992420441,0.09840744243577529,0.10873884606737519,0.07645122103288345
96.0,0.062097004090150884,0.09790473624093726,0.10799954924057761,0.0761796482015316
97.0,0.06200982633110688,0.09740886699910757,0.10727155173441441,0.07591361399556186
98.0,0.06192630638297389,0.09691973733536349,0.10655467921036581,0.07565296632381267
99.0,0.06184629071743139,0.09643725133565068,0.1058487600645306,0.07539755860152966
100.0,0.061769632257629443,0.09596131452360687,0.10515362538232224,0.07514724951082871
101.0,0.06169619010604945,0.09549183383778356,0.10446910889413834,0.07490190277277012
102.0,0.061625829283988943,0.09502871760925653,0.1037950469319594,0.07466138693044262
103.0,0.06155842048215398,0.09457187553961663,0.10313127838683622,0.07442557514248814
104.0,0.061493839821868186,0.09412121867933244,0.10247764466722925,0.07419434498652902
105.0,0.06143196862643186,0.09367665940647756,0.10183398965816652,0.0739675782719882
106.0,0.06137269320218658,0.09323811140581471,0.10120015968118917,0.07374516086182085
107.0,0.06131590462886266,0.09280548964823004,0.10057600345505657,0.07352698250270087
108.0,0.06126149855880613,0.09237871037051065,0.09996137205718472,0.07331293666323133
109.0,0.06120937502470104,0.09195769105545872,0.09935611888579446,0.07310292037976997
110.0,0.06115943825542069,0.09154235041233649,0.0987600996227466,0.07289683410948311
111.0,0.061111596499657896,0.09113260835763537,0.09817317219704391,0.07269458159026249
112.0,0.06106576185700062,0.09072838599616366,0.09759519674898065,0.07249606970715791
113.0,0.06102185011613408,0.09032960560244702,0.0970260355949215,0.0723012083649981
114.0,0.060979780599864766,0.08993619060243616,0.09646555319269318,0.07210991036688881
115.0,0.06093947601667561,0.08954806555551612,0.09591361610757343,0.07192209129829413
116.0,0.060900862318534026,0.08916515613681206,0.09537009297886186,0.07173766941642236
117.0,0.06086386856468682,0.08878738911978606,0.09483485448701919,0.07155656554465226
118.0,0.06082842679118836,0.08841469235912017,0.0943077733213614,0.07137870297174992
119.0,0.060794471885918,0.08804699477388032,0.09378872414829638,0.07120400735563905
120.0,0.060761941468855045,0.0876842263309566,0.09327758358009086,0.07103240663150028
121.0,0.06073077577738821,0.08732631802877482,0.09277423014415671,0.07086383092398667
122.0,0.060700917556446826,0.08697320188127482,0.09227854425284508,0.07069821246335384
123.0,0.06067231195325027,0.08662481090215084,0.09179040817373874,0.0705354855053133
124.0,0.06064490641648045,0.08628107908934958,0.09130970600043171,0.07037558625442791
125.0,0.060618650599690654,0.08594194140982124,0.09083632362378762,0.07021845279087767
126.0,0.06059349626877235,0.08560733378451955,0.09037014870366639,0.0700640250004326
127.0,0.06056939721330874,0.08527719307364617,0.08991107064111142,0.06991224450747834
128.0,0.06054630916165145,0.08495145706213558,0.08945898055098787,0.0697630546109477
129.0,0.06052418969956341,0.08463006444537612,0.08901377123506389,0.06961640022301926
130.0,0.06050299819227798,0.08431295481516331,0.08857533715552694,0.06947222781045066
131.0,0.06048269570983055,0.08400006864588137,0.08814357440892712,0.0693304853384217
132.0,0.060463244955524784,0.08369134728090906,0.0877183807005398,0.06919112221676808
133.0,0.060444610197401986,0.0833867329192461,0.08729965531914041,0.06905408924849313
134.0,0.06042675720258701,0.08308616860235646,0.08688729911218405,0.06891933858045025
135.0,0.06040965317439001,0.08278959820122443,0.08648121446138267,0.06878682365609441
136.0,0.06039326669204814,0.0824969664036206,0.08608130525867322,0.068656499170206
137.0,0.06037756765299626,0.08220821870157331,0.08568747688257011,0.06852832102549541
138.0,0.06036252721756044,0.081923301379043,0.08529963617489508,0.06840224629100114
139.0,0.060348117755972513,0.08164216149979493,0.08491769141787854,0.06827823316219843
140.0,0.060334312797608064,0.08136474689546828,0.0845415523116257,0.06815624092274007
141.0,0.06032108698235465,0.08109100615383692,0.0841711299519417,0.06803622990775426
142.0,0.06030841601402071,0.08082088860725951,0.08380633680850959,0.06791816146862865
143.0,0.060296276615699466,0.08055434432131553,0.0834470867034152,0.06780199793921286
144.0,0.06028464648700577,0.08029132408362395,0.08309329479001341,0.06768770260337527
145.0,0.0602735042631073,0.0800317793928415,0.08274487753213002,0.06757523966385304
146.0,0.060262829475474754,0.07977566244783763,0.08240175268359355,0.06746457421233708
147.0,0.060252602514278816,0.07952292613704313,0.08206383926809185,0.06735567220073682
148.0,0.060242804592364904,0.07927352402796943,0.08173105755934806,0.0672485004135721
149.0,0.060233417710739506,0.0790274103568957,0.08140332906161057,0.06714302644144224
150.0,0.06022442462550428,0.07878454001872116,0.08108057649045204,0.06703921865552442
