Bin,Correlation_loth,Correlation_markhvida,Correlation_DuNing,Correlation_vitor,Correlation_markov
89.0,0.011982711706484026,0.15119763913054984,0.2051073676802965,0.072881718933377,5.873624745798942e-05
90.0,0.011479967634772471,0.1492114841320314,0.20199285570978034,0.07164610410359384,5.280109303435914e-05
91.0,0.010998321284249001,0.14725244842688862,0.198925989947339,0.070436864791201,4.7466937018447855e-05
92.0,0.010536886631768652,0.14532014395717915,0.19590603389513234,0.06925323602078286,4.267277982813396e-05
93.0,0.010094814954887656,0.14341418851910506,0.19293226269285607,0.06809448177276413,3.836382932078359e-05
94.0,0.009671293248860086,0.14153420566911487,0.19000396291658084,0.06695989368539065,3.4490867243221826e-05
95.0,0.00926554271257362,0.13967982463172884,0.18712043238281212,0.06584878982089691,3.100968056371254e-05
96.0,0.008876817300185478,0.13785068020902608,0.18428097995744536,0.06476051349249766,2.7880551014947297e-05
97.0,0.008504402335391277,0.13604641269174442,0.18148492536934424,0.06369443214901314,2.5067796866180557e-05
98.0,0.008147613185444604,0.13426666777194296,0.17873159902827793,0.06264993631412064,2.2539361560187974e-05
99.0,0.007805793992191946,0.13251109645718873,0.17602034184699514,0.06162643857737171,2.0266444404157675e-05
100.0,0.00747831645753852,0.13077935498623028,0.17335050506722283,0.060623372634298595,1.8223168999651243e-05
101.0,0.007164578680896755,0.12907110474611352,0.1707214500894048,0.059640192373040204,1.638628554138633e-05
102.0,0.006864004046289242,0.12738601219071716,0.1681325483060074,0.05867637100509582,1.4734903513158363e-05
103.0,0.006576040156903987,0.12572374876066944,0.16558318093823943,0.057731400237913504,1.3250251666534733e-05
104.0,0.006300157815003615,0.12408399080461907,0.16307273887604498,0.056804789487162916,1.1915462488315762e-05
105.0,0.00603585004519053,0.1224664195018321,0.16060062252123897,0.055896065126647146,1.071537865000704e-05
106.0,0.005782631159140754,0.12087072078608789,0.1581662416336671,0.05500476977392651,9.636379190129646e-06
107.0,0.005540035859983131,0.11929658527084766,0.15576901518028594,0.0541304616098241,8.666223411188863e-06
108.0,0.005307618384621601,0.11774370817567485,0.15340837118705608,0.053272713730084076,7.793910680288564e-06
109.0,0.005084951682339168,0.11621178925387732,0.15108374659356302,0.05243111352754632,7.0095545081872675e-06
110.0,0.004871626628135001,0.11470053272135451,0.14879458711027782,0.05160526210328997,6.304269448256928e-06
111.0,0.0046672512692879885,0.11320964718662413,0.1465403470783751,0.05079477370527433,5.670069506308633e-06
112.0,0.0044714501037297185,0.11173884558200928,0.14432048933204253,0.049999275193094966,5.09977688636664e-06
113.0,0.004283863388858634,0.11028784509596026,0.1421344850632049,0.049218405527535876,4.586940017794272e-06
114.0,0.004104146479498383,0.10885636710649703,0.13998181368860121,0.048451815283672976,4.12575991712793e-06
115.0,0.00393196919375469,0.10744413711574943,0.13786196271915793,0.047699166186352844,3.711024034836019e-06
116.0,0.0037670152055853004,0.10605088468557293,0.13577442763159614,0.046960130666927384,3.3380468241329648e-06
117.0,0.003608981462946231,0.10467634337422797,0.13371871174222147,0.04623439144018737,3.002616346970173e-06
118.0,0.003457577630427135,0.10332025067409531,0.1316943260828442,0.045521641100493,2.7009463023161918e-06
119.0,0.003312525555339418,0.101982347950419,0.12970078927878662,0.04482158173615131,2.4296329246509126e-06
120.0,0.0031735587562600415,0.10066238038105145,0.1277376274289224,0.04413392456114286,2.18561625697315e-06
121.0,0.003040421933087778,0.0993600968971853,0.12580437398771555,0.04345838956334128,1.9661453532195054e-06
122.0,0.0029128704976913175,0.09807525012505841,0.12390056964920441,0.042794705168420676,1.768747010409156e-06
123.0,0.002790670124291012,0.09680759632861007,0.12202576223290375,0.04214260791868332,1.5911976715969647e-06
124.0,0.0026735963187331058,0.09555689535307603,0.12017950657157747,0.04150184216608147,1.431498177313543e-06
125.0,0.0025614340058606085,0.09432291056950412,0.11836136440084698,0.04087215977874555,1.2878510760241383e-06
126.0,0.0024539771342216815,0.0931054088201741,0.1165709042506025,0.04025331986036438,1.1586402336325847e-06
127.0,0.0023510282973799325,0.0919041603649095,0.1148077013381797,0.0396450884817956,1.0424125085367061e-06
128.0,0.0022523983711302755,0.0907189388282627,0.11307133746327137,0.039047238424326995,9.378612825165521e-07
129.0,0.0021579061659496917,0.08954952114755793,0.11136140090453908,0.038459548934019636,8.438116590840102e-07
130.0,0.0020673780940403752,0.08839568752178395,0.10967748631789419,0.03788180548661503,7.592071600903388e-07
131.0,0.001980647850353973,0.08725722136131157,0.10801919463642394,0.037313799562495115,6.830977686002741e-07
132.0,0.0018975561070078072,0.08613390923843206,0.10638613297192213,0.03675532843122397,6.146291814977272e-07
133.0,0.0018179502205253576,0.0850255408386945,0.10477791451800654,0.0362061949452212,5.530331491683619e-07
134.0,0.0017416839513712773,0.08393190891303398,0.10319415845479009,0.03566620734212733,4.976187920698013e-07
135.0,0.0016686171952550776,0.08285280923067571,0.10163448985507942,0.03513517905546777,4.477647951954018e-07
